Timeslots, Rooms, Classes, Professors, Students, Runtime, Percentage of classes assigned, Student preference value, Student preference maximum, Fit percentage, e1-Percentage, e2-Percentage, e2-Limit, e3-Action, e4-Increase, e5-Limit, e5-Number of sections made
65,63,284,175,1213,0.191441,1.000000,3424,3923,0.872801,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.410484,0.295775,1429,3923,0.364262,0.000000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.377438,0.316901,1411,3923,0.359674,0.050000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.375856,0.345070,1656,3923,0.422126,0.100000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.415002,0.387324,1801,3923,0.459087,0.150000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.380817,0.415493,1876,3923,0.478205,0.200000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.398464,0.461268,2023,3923,0.515677,0.250000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.385813,0.503521,2051,3923,0.522814,0.300000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.399949,0.549296,2397,3923,0.611012,0.350000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.403179,0.588028,2455,3923,0.625797,0.400000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.403939,0.633803,2591,3923,0.660464,0.450000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.402374,0.676056,2764,3923,0.704563,0.500000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.410820,0.718310,2842,3923,0.724446,0.550000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.413469,0.767606,2994,3923,0.763191,0.600000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.407836,0.792253,3022,3923,0.770329,0.650000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.409656,0.841549,3100,3923,0.790212,0.700000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.425718,0.862676,3219,3923,0.820545,0.750000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.423695,0.901408,3297,3923,0.840428,0.800000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.430009,0.929577,3337,3923,0.850625,0.850000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.425118,0.964789,3430,3923,0.874331,0.900000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.434102,0.989437,3421,3923,0.872037,0.950000,NULL,NULL,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.174497,1.000000,3412,3923,0.869743,NULL,0.000000,60,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.163208,1.000000,3424,3923,0.872801,NULL,0.000000,120,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.167515,1.000000,3424,3923,0.872801,NULL,0.000000,180,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.174076,0.992958,3327,3923,0.848075,NULL,0.050000,60,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.162475,1.000000,3390,3923,0.864135,NULL,0.050000,120,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.171940,1.000000,3424,3923,0.872801,NULL,0.050000,180,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.160953,0.978873,3192,3923,0.813663,NULL,0.100000,60,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.163818,1.000000,3397,3923,0.865919,NULL,0.100000,120,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.162646,1.000000,3414,3923,0.870252,NULL,0.100000,180,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.197086,0.978873,3147,3923,0.802192,NULL,0.150000,60,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.166745,1.000000,3403,3923,0.867448,NULL,0.150000,120,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.191535,1.000000,3409,3923,0.868978,NULL,0.150000,180,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.173803,0.968310,3030,3923,0.772368,NULL,0.200000,60,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.172706,1.000000,3411,3923,0.869488,NULL,0.200000,120,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.164193,1.000000,3405,3923,0.867958,NULL,0.200000,180,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.166808,0.954225,2960,3923,0.754525,NULL,0.250000,60,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.195866,1.000000,3418,3923,0.871272,NULL,0.250000,120,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.164902,1.000000,3413,3923,0.869997,NULL,0.250000,180,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.187554,0.947183,2893,3923,0.737446,NULL,0.300000,60,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.166935,1.000000,3421,3923,0.872037,NULL,0.300000,120,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.169749,1.000000,3405,3923,0.867958,NULL,0.300000,180,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.160020,0.926056,2726,3923,0.694876,NULL,0.350000,60,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.163212,1.000000,3426,3923,0.873311,NULL,0.350000,120,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.165752,1.000000,3400,3923,0.866684,NULL,0.350000,180,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.166742,0.890845,2556,3923,0.651542,NULL,0.400000,60,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.165715,1.000000,3417,3923,0.871017,NULL,0.400000,120,NULL,NULL,NULL,NULL
65,63,284,175,1213,0.164195,1.000000,3401,3923,0.866939,NULL,0.400000,180,NULL,NULL,NULL,NULL
