Timeslots, Rooms, Classes, Professors, Students, Runtime, Percentage of classes assigned, Student preference value, Student preference maximum, Fit percentage, e1-Percentage, e2-Percentage, e2-Limit, e3-Action, e4-Increase, e5-Limit, e5-Number of sections made
75,74,318,178,1719,0.275896,1.000000,4523,5101,0.886689,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.610132,0.292453,1793,5101,0.351500,0.000000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.577749,0.327044,1929,5101,0.378161,0.050000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.571332,0.345912,2185,5101,0.428347,0.100000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.575908,0.349057,2298,5101,0.450500,0.150000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.589654,0.396226,2496,5101,0.489316,0.200000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.599802,0.440252,2684,5101,0.526171,0.250000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.598111,0.481132,2975,5101,0.583219,0.300000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.648250,0.525157,3185,5101,0.624387,0.350000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.641151,0.578616,3352,5101,0.657126,0.400000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.608185,0.616352,3513,5101,0.688689,0.450000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.612620,0.647799,3623,5101,0.710253,0.500000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.673466,0.694969,3777,5101,0.740443,0.550000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.632621,0.738994,3893,5101,0.763184,0.600000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.664994,0.776730,4070,5101,0.797883,0.650000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.687695,0.811321,4200,5101,0.823368,0.700000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.634148,0.849057,4247,5101,0.832582,0.750000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.647531,0.889937,4360,5101,0.854734,0.800000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.683078,0.924528,4427,5101,0.867869,0.850000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.662896,0.955975,4458,5101,0.873946,0.900000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.647092,0.987421,4498,5101,0.881788,0.950000,NULL,NULL,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.262571,1.000000,4519,5101,0.885905,NULL,0.000000,60,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.288730,1.000000,4513,5101,0.884728,NULL,0.000000,120,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.266047,1.000000,4523,5101,0.886689,NULL,0.000000,180,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.252967,1.000000,4518,5101,0.885709,NULL,0.050000,60,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.253869,1.000000,4515,5101,0.885121,NULL,0.050000,120,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.268931,1.000000,4523,5101,0.886689,NULL,0.050000,180,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.254579,1.000000,4567,5101,0.895315,NULL,0.100000,60,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.258292,1.000000,4578,5101,0.897471,NULL,0.100000,120,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.264535,1.000000,4519,5101,0.885905,NULL,0.100000,180,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.260920,1.000000,4588,5101,0.899431,NULL,0.150000,60,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.262855,1.000000,4561,5101,0.894138,NULL,0.150000,120,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.253989,1.000000,4535,5101,0.889041,NULL,0.150000,180,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.256554,1.000000,4580,5101,0.897863,NULL,0.200000,60,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.253848,1.000000,4588,5101,0.899431,NULL,0.200000,120,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.254915,1.000000,4523,5101,0.886689,NULL,0.200000,180,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.254318,1.000000,4525,5101,0.887081,NULL,0.250000,60,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.268637,1.000000,4581,5101,0.898059,NULL,0.250000,120,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.258469,1.000000,4528,5101,0.887669,NULL,0.250000,180,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.252989,1.000000,4519,5101,0.885905,NULL,0.300000,60,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.293221,1.000000,4611,5101,0.903940,NULL,0.300000,120,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.247385,1.000000,4494,5101,0.881004,NULL,0.300000,180,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.264625,1.000000,4507,5101,0.883552,NULL,0.350000,60,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.256867,1.000000,4598,5101,0.901392,NULL,0.350000,120,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.261788,1.000000,4508,5101,0.883748,NULL,0.350000,180,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.256280,1.000000,4500,5101,0.882180,NULL,0.400000,60,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.263767,1.000000,4614,5101,0.904528,NULL,0.400000,120,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.254055,1.000000,4508,5101,0.883748,NULL,0.400000,180,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.275466,1.000000,4476,5101,0.877475,NULL,0.450000,60,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.255683,1.000000,4617,5101,0.905117,NULL,0.450000,120,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.296516,1.000000,4539,5101,0.889826,NULL,0.450000,180,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.263378,1.000000,4491,5101,0.880416,NULL,0.500000,60,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.256897,1.000000,4602,5101,0.902176,NULL,0.500000,120,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.263761,1.000000,4535,5101,0.889041,NULL,0.500000,180,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.271945,1.000000,4513,5101,0.884728,NULL,0.550000,60,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.254019,1.000000,4614,5101,0.904528,NULL,0.550000,120,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.252119,1.000000,4533,5101,0.888649,NULL,0.550000,180,NULL,NULL,NULL,NULL
75,74,318,178,1719,0.257019,1.000000,4495,5101,0.881200,NULL,0.600000,60,NULL,NULL,NULL,NULL
