Timeslots, Rooms, Classes, Professors, Students, Runtime, Percentage of classes assigned, Student preference value, Student preference maximum, Fit percentage, e1-Percentage, e2-Percentage, e2-Limit, e3-Action, e4-Increase, e5-Limit, e5-Number of sections made
58,60,231,164,1112,0.116307,1.000000,3118,3559,0.876089,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.289706,0.298701,1225,3559,0.344198,0.000000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.260415,0.333333,1327,3559,0.372858,0.050000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.258395,0.359307,1577,3559,0.443102,0.100000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.265921,0.389610,1751,3559,0.491992,0.150000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.261677,0.432900,1787,3559,0.502107,0.200000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.256103,0.480519,1929,3559,0.542006,0.250000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.268918,0.532468,2074,3559,0.582748,0.300000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.262805,0.558442,2144,3559,0.602416,0.350000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.271155,0.610390,2325,3559,0.653273,0.400000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.265534,0.653680,2470,3559,0.694015,0.450000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.273144,0.709957,2643,3559,0.742624,0.500000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.270148,0.748918,2742,3559,0.770441,0.550000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.275376,0.761905,2754,3559,0.773813,0.600000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.272258,0.796537,2814,3559,0.790672,0.650000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.272883,0.831169,2953,3559,0.829727,0.700000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.275605,0.874459,3030,3559,0.851363,0.750000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.276022,0.913420,3067,3559,0.861759,0.800000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.312937,0.948052,3037,3559,0.853330,0.850000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.287785,0.969697,3045,3559,0.855577,0.900000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.281833,1.000000,3107,3559,0.872998,0.950000,NULL,NULL,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.117577,1.000000,3121,3559,0.876932,NULL,0.000000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.106870,1.000000,3118,3559,0.876089,NULL,0.000000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.112420,1.000000,3118,3559,0.876089,NULL,0.000000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.111260,1.000000,3120,3559,0.876651,NULL,0.050000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.121752,1.000000,3133,3559,0.880303,NULL,0.050000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.125274,1.000000,3129,3559,0.879180,NULL,0.050000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.119865,1.000000,3144,3559,0.883394,NULL,0.100000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.121053,1.000000,3129,3559,0.879180,NULL,0.100000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.105808,1.000000,3127,3559,0.878618,NULL,0.100000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.105559,1.000000,3162,3559,0.888452,NULL,0.150000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.119034,1.000000,3148,3559,0.884518,NULL,0.150000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.106809,1.000000,3130,3559,0.879461,NULL,0.150000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.109032,1.000000,3100,3559,0.871031,NULL,0.200000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.108070,1.000000,3177,3559,0.892666,NULL,0.200000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.106042,1.000000,3131,3559,0.879741,NULL,0.200000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.106770,1.000000,3097,3559,0.870188,NULL,0.250000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.107952,1.000000,3176,3559,0.892385,NULL,0.250000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.106629,1.000000,3127,3559,0.878618,NULL,0.250000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.107820,1.000000,3073,3559,0.863445,NULL,0.300000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.108709,1.000000,3169,3559,0.890419,NULL,0.300000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.106205,1.000000,3131,3559,0.879741,NULL,0.300000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.108987,1.000000,3048,3559,0.856420,NULL,0.350000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.106067,1.000000,3172,3559,0.891262,NULL,0.350000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.106693,1.000000,3151,3559,0.885361,NULL,0.350000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.107904,1.000000,3063,3559,0.860635,NULL,0.400000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.117836,1.000000,3165,3559,0.889295,NULL,0.400000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.105755,1.000000,3134,3559,0.880584,NULL,0.400000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.109806,1.000000,3060,3559,0.859792,NULL,0.450000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.106436,1.000000,3158,3559,0.887328,NULL,0.450000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.106050,1.000000,3158,3559,0.887328,NULL,0.450000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.109195,1.000000,3023,3559,0.849396,NULL,0.500000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.107475,1.000000,3158,3559,0.887328,NULL,0.500000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.107871,1.000000,3139,3559,0.881989,NULL,0.500000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.109990,1.000000,2945,3559,0.827480,NULL,0.550000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.110674,1.000000,3182,3559,0.894071,NULL,0.550000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.107901,1.000000,3166,3559,0.889576,NULL,0.550000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.109446,1.000000,2954,3559,0.830008,NULL,0.600000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.109015,1.000000,3215,3559,0.903344,NULL,0.600000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.108236,1.000000,3164,3559,0.889014,NULL,0.600000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.108914,1.000000,2938,3559,0.825513,NULL,0.650000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.107627,1.000000,3201,3559,0.899410,NULL,0.650000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.109267,1.000000,3172,3559,0.891262,NULL,0.650000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.111500,1.000000,2933,3559,0.824108,NULL,0.700000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.107676,1.000000,3187,3559,0.895476,NULL,0.700000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.107304,1.000000,3158,3559,0.887328,NULL,0.700000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.110567,0.995671,2900,3559,0.814836,NULL,0.750000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.122497,1.000000,3221,3559,0.905029,NULL,0.750000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.107214,1.000000,3168,3559,0.890138,NULL,0.750000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.105055,0.991342,2913,3559,0.818488,NULL,0.800000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.132577,1.000000,3242,3559,0.910930,NULL,0.800000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.109849,1.000000,3152,3559,0.885642,NULL,0.800000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.115907,0.991342,2905,3559,0.816240,NULL,0.850000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.131875,1.000000,3210,3559,0.901939,NULL,0.850000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.110247,1.000000,3163,3559,0.888733,NULL,0.850000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.126439,0.987013,2876,3559,0.808092,NULL,0.900000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.111138,1.000000,3209,3559,0.901658,NULL,0.900000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.109811,1.000000,3173,3559,0.891543,NULL,0.900000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.108863,0.987013,2961,3559,0.831975,NULL,0.950000,60,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.109751,1.000000,3218,3559,0.904187,NULL,0.950000,120,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.117110,1.000000,3147,3559,0.884237,NULL,0.950000,180,NULL,NULL,NULL,NULL
58,60,231,164,1112,0.106499,1.000000,3080,3559,0.865412,NULL,NULL,NULL,MWF->MW,NULL,NULL,NULL
58,60,231,164,1112,0.109611,1.000000,3134,3559,0.880584,NULL,NULL,NULL,MW->MWF,NULL,NULL,NULL
58,60,231,164,1112,0.112432,1.000000,3079,3559,0.865131,NULL,NULL,NULL,NULL,-100,NULL,NULL
58,60,231,164,1112,0.109216,1.000000,3079,3559,0.865131,NULL,NULL,NULL,NULL,-10,NULL,NULL
58,60,231,164,1112,0.108486,1.000000,3086,3559,0.867097,NULL,NULL,NULL,NULL,-5,NULL,NULL
58,60,231,164,1112,0.106545,1.000000,3118,3559,0.876089,NULL,NULL,NULL,NULL,-1,NULL,NULL
58,60,231,164,1112,0.109920,1.000000,3127,3559,0.878618,NULL,NULL,NULL,NULL,1,NULL,NULL
58,60,231,164,1112,0.108615,1.000000,3127,3559,0.878618,NULL,NULL,NULL,NULL,5,NULL,NULL
