Timeslots, Rooms, Classes, Professors, Students, Runtime, Percentage of classes assigned, Student preference value, Student preference maximum, Fit percentage, e1-Percentage, e2-Percentage, e2-Limit, e3-Action, e4-Increase, e5-Limit, e5-Number of sections made
69,69,307,168,1703,0.255055,1.000000,4285,4712,0.909380,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.511480,0.250814,1325,4712,0.281197,0.000000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.522614,0.293160,1633,4712,0.346562,0.050000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.475991,0.315961,1860,4712,0.394737,0.100000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.485388,0.355049,2019,4712,0.428480,0.150000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.532126,0.394137,2276,4712,0.483022,0.200000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.504472,0.442997,2554,4712,0.542020,0.250000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.503338,0.482085,2695,4712,0.571944,0.300000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.503761,0.524430,2931,4712,0.622029,0.350000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.538979,0.566775,3124,4712,0.662988,0.400000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.519374,0.609121,3345,4712,0.709890,0.450000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.513270,0.622150,3420,4712,0.725806,0.500000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.556365,0.677524,3586,4712,0.761036,0.550000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.527319,0.713355,3744,4712,0.794567,0.600000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.532902,0.755700,3883,4712,0.824066,0.650000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.541889,0.801303,3977,4712,0.844015,0.700000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.549671,0.827362,4057,4712,0.860993,0.750000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.542731,0.869707,4134,4712,0.877334,0.800000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.576790,0.905537,4211,4712,0.893676,0.850000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.583689,0.954397,4282,4712,0.908744,0.900000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.545070,0.980456,4286,4712,0.909593,0.950000,NULL,NULL,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.230541,1.000000,4285,4712,0.909380,NULL,0.000000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.234373,1.000000,4285,4712,0.909380,NULL,0.000000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.264393,1.000000,4285,4712,0.909380,NULL,0.000000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.269978,1.000000,4328,4712,0.918506,NULL,0.050000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.263683,1.000000,4300,4712,0.912564,NULL,0.050000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.224338,1.000000,4285,4712,0.909380,NULL,0.050000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.256816,1.000000,4337,4712,0.920416,NULL,0.100000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.248228,1.000000,4323,4712,0.917445,NULL,0.100000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.223281,1.000000,4312,4712,0.915110,NULL,0.100000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.259665,1.000000,4313,4712,0.915323,NULL,0.150000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.272175,1.000000,4323,4712,0.917445,NULL,0.150000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.222729,1.000000,4318,4712,0.916384,NULL,0.150000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.288071,1.000000,4362,4712,0.925722,NULL,0.200000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.260198,1.000000,4343,4712,0.921689,NULL,0.200000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.267044,1.000000,4317,4712,0.916171,NULL,0.200000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.267125,1.000000,4335,4712,0.919991,NULL,0.250000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.271468,1.000000,4371,4712,0.927632,NULL,0.250000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.264334,1.000000,4320,4712,0.916808,NULL,0.250000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.293640,1.000000,4320,4712,0.916808,NULL,0.300000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.229188,1.000000,4357,4712,0.924660,NULL,0.300000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.223154,1.000000,4318,4712,0.916384,NULL,0.300000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.262902,1.000000,4306,4712,0.913837,NULL,0.350000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.254095,1.000000,4362,4712,0.925722,NULL,0.350000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.226402,1.000000,4314,4712,0.915535,NULL,0.350000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.226295,1.000000,4299,4712,0.912351,NULL,0.400000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.234436,1.000000,4396,4712,0.932937,NULL,0.400000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.230461,1.000000,4313,4712,0.915323,NULL,0.400000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.230655,1.000000,4294,4712,0.911290,NULL,0.450000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.227298,1.000000,4421,4712,0.938243,NULL,0.450000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.225303,1.000000,4342,4712,0.921477,NULL,0.450000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.236232,1.000000,4287,4712,0.909805,NULL,0.500000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.243799,1.000000,4420,4712,0.938031,NULL,0.500000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.267391,1.000000,4351,4712,0.923387,NULL,0.500000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.268832,1.000000,4253,4712,0.902589,NULL,0.550000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.237817,1.000000,4403,4712,0.934423,NULL,0.550000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.265514,1.000000,4351,4712,0.923387,NULL,0.550000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.263444,1.000000,4260,4712,0.904075,NULL,0.600000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.242857,1.000000,4392,4712,0.932088,NULL,0.600000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.263850,1.000000,4328,4712,0.918506,NULL,0.600000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.236011,1.000000,4287,4712,0.909805,NULL,0.650000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.256170,1.000000,4436,4712,0.941426,NULL,0.650000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.223801,1.000000,4358,4712,0.924873,NULL,0.650000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.229754,1.000000,4229,4712,0.897496,NULL,0.700000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.228178,1.000000,4415,4712,0.936969,NULL,0.700000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.270759,1.000000,4354,4712,0.924024,NULL,0.700000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.228958,1.000000,4234,4712,0.898557,NULL,0.750000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.274312,1.000000,4420,4712,0.938031,NULL,0.750000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.236099,1.000000,4351,4712,0.923387,NULL,0.750000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.227233,1.000000,4233,4712,0.898345,NULL,0.800000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.234705,1.000000,4394,4712,0.932513,NULL,0.800000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.230554,1.000000,4330,4712,0.918930,NULL,0.800000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.223889,1.000000,4248,4712,0.901528,NULL,0.850000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.244940,1.000000,4408,4712,0.935484,NULL,0.850000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.275958,1.000000,4330,4712,0.918930,NULL,0.850000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.235434,1.000000,4261,4712,0.904287,NULL,0.900000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.227341,1.000000,4419,4712,0.937818,NULL,0.900000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.275547,1.000000,4352,4712,0.923599,NULL,0.900000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.232600,1.000000,4260,4712,0.904075,NULL,0.950000,60,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.267960,1.000000,4437,4712,0.941638,NULL,0.950000,120,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.238871,1.000000,4337,4712,0.920416,NULL,0.950000,180,NULL,NULL,NULL,NULL
69,69,307,168,1703,0.238291,1.000000,4263,4712,0.904711,NULL,NULL,NULL,MWF->MW,NULL,NULL,NULL
69,69,307,168,1703,0.218396,1.000000,4294,4712,0.911290,NULL,NULL,NULL,MW->MWF,NULL,NULL,NULL
69,69,307,168,1703,0.243929,1.000000,4207,4712,0.892827,NULL,NULL,NULL,NULL,-100,NULL,NULL
69,69,307,168,1703,0.223227,1.000000,4207,4712,0.892827,NULL,NULL,NULL,NULL,-10,NULL,NULL
69,69,307,168,1703,0.222976,1.000000,4228,4712,0.897284,NULL,NULL,NULL,NULL,-5,NULL,NULL
69,69,307,168,1703,0.230386,1.000000,4273,4712,0.906834,NULL,NULL,NULL,NULL,-1,NULL,NULL
69,69,307,168,1703,0.224183,1.000000,4281,4712,0.908531,NULL,NULL,NULL,NULL,1,NULL,NULL
69,69,307,168,1703,0.242667,1.000000,4281,4712,0.908531,NULL,NULL,NULL,NULL,5,NULL,NULL
69,69,307,168,1703,0.243386,1.000000,4281,4712,0.908531,NULL,NULL,NULL,NULL,10,NULL,NULL
69,69,307,168,1703,0.261146,1.000000,4281,4712,0.908531,NULL,NULL,NULL,NULL,100,NULL,NULL
69,69,3070,168,1703,3.500301,0.982642,4490,4712,0.952886,NULL,NULL,NULL,NULL,NULL,5,730
69,69,3070,168,1703,1.009997,1.000000,4470,4712,0.948642,NULL,NULL,NULL,NULL,NULL,10,322
69,69,3070,168,1703,0.549413,1.000000,4448,4712,0.943973,NULL,NULL,NULL,NULL,NULL,15,183
69,69,3070,168,1703,0.405941,1.000000,4434,4712,0.941002,NULL,NULL,NULL,NULL,NULL,20,109
69,69,3070,168,1703,0.337598,1.000000,4437,4712,0.941638,NULL,NULL,NULL,NULL,NULL,25,71
