Timeslots, Rooms, Classes, Professors, Students, Runtime, Percentage of classes assigned, Student preference value, Student preference maximum, Fit percentage, e1-Percentage, e2-Percentage, e2-Limit, e3-Action, e4-Increase, e5-Limit, e5-Number of sections made
68,65,311,171,1233,0.246535,1.000000,3404,3778,0.901006,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,65,311,171,1233,0.362154,0.295820,1438,3778,0.380625,0.100000,NULL,NULL,NULL,NULL,NULL,NULL
68,65,311,171,1233,0.316899,0.324759,1540,3778,0.407623,0.150000,NULL,NULL,NULL,NULL,NULL,NULL
68,65,311,171,1233,0.353109,0.366559,1706,3778,0.451562,0.200000,NULL,NULL,NULL,NULL,NULL,NULL
68,65,311,171,1233,0.338272,0.401929,1725,3778,0.456591,0.250000,NULL,NULL,NULL,NULL,NULL,NULL
68,65,311,171,1233,0.341172,0.453376,1979,3778,0.523822,0.300000,NULL,NULL,NULL,NULL,NULL,NULL
68,65,311,171,1233,0.348279,0.498392,2094,3778,0.554262,0.350000,NULL,NULL,NULL,NULL,NULL,NULL
68,65,311,171,1233,0.358160,0.533762,2251,3778,0.595818,0.400000,NULL,NULL,NULL,NULL,NULL,NULL
68,65,311,171,1233,0.347544,0.581994,2454,3778,0.649550,0.450000,NULL,NULL,NULL,NULL,NULL,NULL
68,65,311,171,1233,0.368054,0.623794,2590,3778,0.685548,0.500000,NULL,NULL,NULL,NULL,NULL,NULL
68,65,311,171,1233,0.371033,0.672026,2703,3778,0.715458,0.550000,NULL,NULL,NULL,NULL,NULL,NULL
68,65,311,171,1233,0.420944,0.713826,2821,3778,0.746691,0.600000,NULL,NULL,NULL,NULL,NULL,NULL
68,65,311,171,1233,0.383515,0.755627,2964,3778,0.784542,0.650000,NULL,NULL,NULL,NULL,NULL,NULL
68,65,311,171,1233,0.385318,0.794212,3078,3778,0.814717,0.700000,NULL,NULL,NULL,NULL,NULL,NULL
