Course	Room	Teacher	Time	Students
1	18	8212	0	6879 10280 10518 13485 17956 26647 29740 33765 40770 41194 42728 56207 58935 63078 70638 72900 73197 80331 84531 87960 90131 99173 116149 118796 122203 129225 133687 133715 135529 138045 
2	31	1073	0	3707 4291 8412 12355 20683 25074 29832 36217 36588 42615 45207 53024 63805 64772 70110 71507 72434 74602 75732 80176 85363 86563 89050 90438 97893 98971 99045 102600 102637 105887 109975 111129 123994 134720 137778 139046 141062 142947 
3	383	492	0	7869 23113 23557 30053 39897 52805 53647 57912 85744 89092 90685 98648 115980 125626 133525 141825 143975 
4	27	4217	0	6001 24304 29841 37010 39117 43314 46632 47689 55641 59421 68741 69008 69322 78558 81756 83372 83382 84290 96561 96664 101695 105762 110842 125977 127812 135410 137665 140978 142970 
5	5	7056	0	328 3652 10206 17093 27300 28907 31850 39429 42817 45127 45896 47148 47756 49655 66611 68514 81313 84075 84935 87757 93322 93325 93626 112529 118814 120050 121653 129307 131410 134534 136517 139515 
6	45	8206	0	1617 12154 13719 16005 17288 20104 25026 25461 27823 42513 47081 48439 52163 53473 53927 61941 63012 69183 69917 70304 78301 81586 88007 94796 96118 100082 104654 107092 109167 109904 118884 122550 122855 123504 127028 127320 132157 
7	25	2210	0	4765 4933 6721 13851 26689 31519 35155 41631 42845 43031 48021 48480 49461 51263 52686 58933 61774 80562 98098 106827 109878 111482 119748 120706 123236 124452 126797 133615 135551 138073 
8	136	3792	0	4027 4035 7019 26467 27215 29223 33323 40205 48492 59305 63683 64003 65012 69377 73778 97917 102313 112643 125852 126303 130561 136031 140805 
9	21	712	0	7966 14276 21782 21873 24627 36087 41410 49582 51486 51695 59323 64345 69779 72617 79743 84747 95962 97873 103496 105836 108239 110075 115175 121286 123063 129276 131065 132805 136066 137720 142275 
10	32	2739	0	17496 22881 23776 42580 43008 45318 48716 52067 64033 64514 70157 73144 76337 79823 86906 87364 92132 93342 93590 99807 101385 104174 113121 113486 116622 128354 132205 137518 141641 
11	87	8778	0	1307 1914 3056 4657 7757 9778 11732 16561 22046 30255 37236 43917 57767 57930 58398 63650 67985 74692 77218 83811 88582 89542 93156 94074 95559 100935 104946 105801 109307 110294 110354 114246 114930 121919 122708 123186 138180 138299 
12	39	1383	0	981 13344 20257 20751 22709 50967 60213 60234 62981 63595 63911 66423 67876 70651 71205 71465 81609 91650 103463 104706 116382 117570 118836 124680 124740 133534 133998 139532 141054 141714 
13	19	3875	0	198 5228 5458 8090 9665 10586 12346 14252 14607 19225 19936 21637 27328 28271 36966 42411 44893 49139 60461 61930 68696 71844 72025 79977 85341 85907 88617 95693 99516 99888 103781 105494 116031 122991 128747 137243 
14	75	1024	1	5692 12841 13905 18680 26446 28017 51263 51490 52149 52966 55688 58682 59117 59235 60957 65609 67051 67733 72847 78071 91136 96914 102196 114850 123022 129810 132224 133132 133228 139017 139623 139917 140879 
