Students	720
1	4 58 29 89
2	24 6 40 44
3	7 14 48 50
4	22 59 74 3
5	58 13 68 61
6	61 17 11 87
7	7 55 28 21
8	46 23 61 86
9	69 36 38 60
10	27 53 35 61
11	26 5 50 24
12	41 33 13 19
13	32 38 84 62
14	8 3 58 48
15	10 9 46 1
16	7 48 15 85
17	19 21 70 53
18	68 39 47 17
19	77 14 85 56
20	48 25 28 19
21	41 39 15 48
22	8 20 29 3
23	62 47 46 63
24	89 57 20 87
25	14 62 67 52
26	62 79 52 44
27	3 25 36 67
28	63 13 32 74
29	59 47 40 89
30	45 90 69 88
31	11 43 17 69
32	57 15 67 20
33	84 69 80 7
34	81 7 58 4
35	38 44 40 20
36	62 46 47 65
37	31 80 26 70
38	63 15 48 35
39	17 60 50 11
40	6 82 47 4
41	58 28 38 69
42	51 17 23 42
43	20 61 70 29
44	4 31 68 70
45	89 48 77 66
46	60 79 22 32
47	77 36 90 10
48	87 57 1 76
49	80 46 32 72
50	85 82 52 37
51	50 6 78 15
52	74 24 8 28
53	52 67 85 62
54	79 65 47 51
55	53 32 23 28
56	72 51 87 80
57	5 11 15 33
58	5 25 53 79
59	6 82 76 69
60	61 6 43 2
61	11 28 72 85
62	53 47 76 27
63	31 22 55 56
64	21 13 3 28
65	47 62 22 88
66	16 22 42 36
67	56 65 83 8
68	68 21 43 25
69	46 47 52 4
70	20 45 85 42
71	37 1 50 9
72	63 88 87 54
73	52 39 57 29
74	41 49 70 77
75	78 51 35 82
76	32 35 10 20
77	13 62 67 26
78	13 20 73 22
79	76 10 46 11
80	55 30 42 62
81	8 55 81 25
82	64 40 26 59
83	52 51 63 47
84	11 53 47 16
85	86 74 7 63
86	71 62 12 43
87	26 61 12 19
88	62 15 3 72
89	49 32 76 8
90	78 19 73 27
91	24 69 31 90
92	52 12 42 63
93	66 55 10 52
94	58 78 63 1
95	36 56 48 85
96	49 55 23 13
97	44 69 71 15
98	2 89 69 45
99	18 30 8 53
100	8 72 82 17
101	20 23 66 14
102	89 56 77 84
103	63 49 68 18
104	2 11 54 4
105	20 13 1 56
106	13 79 1 29
107	88 59 67 17
108	25 77 47 8
109	55 74 58 53
110	50 60 10 85
111	60 86 42 74
112	85 88 87 14
113	8 14 47 87
114	4 44 71 77
115	77 80 23 75
116	65 36 42 82
117	59 68 10 77
118	14 28 62 53
119	45 82 83 61
120	63 47 4 36
121	69 79 49 63
122	49 39 70 19
123	17 51 25 82
124	25 13 81 20
125	30 68 40 13
126	76 84 61 16
127	54 73 20 37
128	59 7 8 46
129	30 7 9 37
130	36 63 83 59
131	44 9 57 69
132	21 84 5 18
133	3 71 78 82
134	40 23 28 54
135	30 80 52 66
136	34 79 89 3
137	15 11 51 82
138	48 82 77 39
139	12 77 59 22
140	27 30 16 56
141	20 8 28 67
142	10 57 59 44
143	68 27 32 38
144	9 27 52 82
145	46 18 34 71
146	87 41 50 52
147	85 53 68 74
148	60 52 25 68
149	67 61 23 10
150	72 21 14 5
151	89 4 28 36
152	16 52 34 72
153	84 58 16 61
154	35 29 32 18
155	26 51 43 33
156	49 12 81 3
157	65 61 35 50
158	58 30 7 84
159	46 68 11 75
160	40 48 90 26
161	30 35 63 52
162	46 49 86 54
163	84 27 89 32
164	57 90 37 54
165	67 39 52 70
166	78 39 11 62
167	2 68 28 48
168	76 75 49 89
169	16 8 83 77
170	19 82 53 56
171	85 38 48 28
172	23 60 48 44
173	65 73 66 61
174	28 18 42 86
175	29 16 58 76
176	43 3 46 50
177	88 51 54 9
178	45 66 76 59
179	7 39 65 31
180	3 49 75 52
181	48 60 16 20
182	20 2 40 37
183	51 2 34 17
184	18 44 71 55
185	17 48 53 1
186	18 45 80 12
187	1 43 81 44
188	73 46 25 62
189	13 77 54 26
190	28 47 51 10
191	33 7 48 75
192	66 55 69 82
193	62 67 17 90
194	82 60 25 10
195	58 81 21 76
196	42 39 43 32
197	29 46 7 76
198	89 19 50 87
199	43 9 3 35
200	37 79 83 71
201	84 8 16 27
202	71 69 32 84
203	50 67 24 28
204	30 40 44 27
205	43 80 52 56
206	16 38 80 61
207	31 47 85 20
208	19 87 70 42
209	6 14 29 43
210	79 83 49 15
211	4 81 6 12
212	44 4 28 52
213	10 51 29 12
214	2 5 23 15
215	79 19 12 80
216	62 14 27 67
217	11 52 54 10
218	60 6 13 49
219	78 49 18 68
220	56 45 9 44
221	22 26 13 1
222	39 40 82 3
223	23 12 20 58
224	89 12 2 25
225	23 62 2 40
226	62 22 48 90
227	80 38 45 59
228	69 3 40 32
229	62 12 78 14
230	85 14 27 54
231	85 90 24 80
232	1 16 24 43
233	53 46 1 39
