Students	144000
1	2475 17629 15322 2541
2	13105 10676 3449 7042
3	6290 6741 9024 9824
4	1306 15857 5650 6421
5	9407 2062 16631 1583
6	15649 4529 9631 7109
7	7979 9167 7351 14405
8	6663 17333 16030 9838
9	6952 15021 6434 5221
10	4093 2360 11562 14695
11	15178 3288 7562 2986
12	10469 3173 3704 14282
13	6733 505 2229 9275
14	9290 1815 15365 8199
15	11044 5904 4029 4933
16	11311 2570 13947 17571
17	3941 6066 6136 4588
18	17695 2801 14592 15356
19	1343 14840 15160 16833
20	9182 9574 8332 1633
21	6906 983 6025 15210
22	17835 11003 10364 8750
23	6701 12830 10564 9707
24	2403 5213 7743 5226
25	3718 16998 3111 12450
26	15913 17681 15407 11692
27	6853 14560 11531 14499
28	689 3333 6651 4729
29	4916 13455 9842 7207
30	7681 11223 4886 11500
31	14144 1991 4897 5488
32	7734 6872 1881 3292
33	17742 7197 2381 15506
34	6204 8446 15517 1712
35	8037 11548 16860 7794
36	3201 17792 15551 13137
37	9974 4074 14521 10637
38	13669 8099 4884 11293
39	6901 11281 13822 13632
40	12491 14407 14375 16291
41	15844 11411 6346 15823
42	9848 7565 5405 1351
43	17810 2607 3820 16496
44	15195 12322 10036 11549
45	1046 1293 9460 9829
46	16366 12224 13909 413
47	5638 11720 14629 8920
48	5581 5717 17815 7952
49	8351 5009 11092 6419
50	12395 7459 16245 7801
51	9194 287 7092 9986
52	1031 4197 5181 9564
53	11826 1519 15926 7083
54	3917 11789 10891 9141
55	14651 17521 2756 13252
56	14784 6944 2525 4855
57	10168 5282 8942 16948
58	13177 10088 7995 2552
59	11040 2227 7392 2242
60	13888 12382 12742 14450
61	12166 7308 15114 12276
62	11470 2385 2800 10543
63	9057 15949 444 5190
64	13728 4099 8856 3563
65	3793 3777 6274 4482
66	2890 12210 16886 3170
67	6940 778 13011 3179
68	15024 2236 7381 9882
69	8938 9087 3965 8071
70	3171 10963 17198 4483
71	17683 13966 15403 14348
72	15679 4089 11610 14212
73	286 8671 11598 12405
74	4255 7295 13278 10801
75	6333 5918 5858 15341
76	10353 2125 1538 3653
77	15351 9435 7746 7736
78	1726 14958 7668 1864
79	4641 12669 12486 13636
80	3158 2169 7598 15599
81	9177 8186 2883 12392
82	4734 13114 912 6392
83	8811 462 13011 12951
84	9344 4957 3925 9370
85	5707 8878 4387 16553
86	6541 17581 5124 8091
87	8612 8510 15373 14360
88	8371 8807 9326 10729
89	16329 8042 9149 14509
90	6333 7980 6537 4651
91	14617 16553 6779 2305
92	13239 5621 14661 7117
93	8611 16248 3571 13838
94	15420 273 2011 14767
95	8811 12313 5253 13163
96	11465 951 7825 11849
97	14731 7950 9314 4397
98	3461 661 4922 12727
99	341 442 2269 10520
100	5592 3348 12034 101
101	5611 2564 1585 554
102	14846 13321 10383 8608
103	12657 5074 3529 15833
104	7602 4728 3600 17952
105	7253 16139 17299 4569
106	5870 8957 4252 10614
107	12807 14566 1463 11634
108	8130 13983 11898 14273
109	4303 5457 933 13535
110	1825 17643 14860 6594
111	14137 1555 5517 2944
112	17852 12547 6720 11765
113	8333 2931 2391 16805
114	7657 9936 12908 16290
115	12162 11906 8799 15057
116	12932 11171 10704 13921
117	6863 15138 13699 7302
118	10302 8731 9480 338
119	11860 14666 8159 8365
120	16912 13611 15043 3206
121	17619 348 13861 16646
122	1346 14839 4622 10576
123	13151 1635 1264 1378
124	15928 3459 1163 12249
125	9039 10898 3673 8489
126	7145 17764 1418 16686
127	5813 1628 14748 13613
128	2636 2857 15566 2323
129	10547 14758 14847 8995
130	10026 7648 17026 721
131	11598 3062 5995 2514
132	16722 4306 15539 7922
133	2575 13153 10233 11864
134	8708 16880 8603 15542
135	17807 16940 7649 9056
136	394 13300 17912 2703
137	8875 13569 10487 9815
138	2578 8315 14576 15718
139	11074 12858 6383 11219
140	11728 12018 7579 8597
141	8094 16027 12985 4956
142	12952 7614 6204 11920
143	624 5121 6040 14970
144	11248 791 2953 2370
145	6152 12947 11315 16929
146	6953 17656 10862 6345
147	14763 12573 9687 16942
148	7637 8583 14075 6425
149	3411 7470 14163 4280
150	8144 13505 11013 17222
151	4851 16249 1656 17451
152	2946 4196 11557 17142
153	9142 5587 2912 14925
154	16536 14917 9298 928
155	9524 7441 15161 15036
156	10193 4437 11057 4527
157	8310 13920 5781 4169
158	13126 3856 6696 6748
159	418 7288 15536 8171
160	6738 13979 4482 5482
161	6181 7516 2814 5157
162	4570 16991 5198 3840
163	5151 15482 17681 16319
164	15299 12124 13618 13458
165	10748 16500 10550 9199
166	14151 9667 6940 12420
167	9828 12203 14786 10992
168	5017 8211 6382 1812
169	15496 16938 15683 15855
170	1654 10307 4237 5717
171	11820 15877 1885 11983
172	11434 11890 14378 8630
173	13513 17761 7548 15225
174	5294 8733 13474 7745
175	4078 5860 4345 14428
176	14772 2984 2971 17315
177	6449 2112 3732 11329
178	11317 16384 12284 6407
179	739 9649 7818 10865
180	2400 8177 3569 1733
181	12332 15951 3651 2013
182	15427 2897 3975 8000
183	2283 10725 14762 16960
184	15867 240 14297 5201
185	8750 17279 7403 15279
186	6647 12043 5632 5639
187	994 3624 7084 14056
188	5384 6036 7770 1110
189	4412 3838 7716 471
190	4770 8476 12860 16642
191	5990 5343 12974 14206
192	3139 4019 11162 7461
193	4589 5622 11315 7206
194	17011 1290 16599 6428
195	17579 16681 12512 7871
196	15335 6458 12255 14126
197	439 1065 6530 9492
198	13 4847 7959 6948
199	11188 3610 15103 8930
200	9314 6116 7673 6092
201	8739 261 14459 14923
202	7825 13858 1522 4200
203	13639 9293 16324 2168
204	16676 11607 9991 10508
205	13013 3040 5512 5384
206	8997 12197 4065 1874
207	17016 7833 14247 16920
208	17750 4155 14921 9799
209	3584 12297 7655 16168
210	12409 3415 4125 6642
211	1892 15361 17809 15017
212	15321 12986 6259 17656
213	12533 17373 17171 16918
214	11984 1440 8380 9155
215	4162 6579 2294 5708
216	7988 7077 8799 7173
217	8103 10889 11266 322
218	2906 14436 11273 3282
219	2255 17327 5513 12723
220	10023 7494 5908 14938
221	3525 16847 6327 4960
222	2480 5294 4828 616
223	17963 8315 4731 9136
224	17139 1038 10948 11348
225	1799 4370 2171 1224
226	13270 14740 14111 1800
227	666 5586 10929 12197
228	2033 14422 10250 13959
229	14420 15930 17086 5721
230	14639 7525 4264 16716
231	5194 11836 11464 12788
232	10080 10727 3837 7135
233	569 15403 8997 2087
234	1332 14687 13584 14054
235	8094 15181 8697 12683
236	16089 12338 14577 9808
237	9769 9825 4574 6597
238	2232 15351 7559 9325
239	7556 12478 10656 15261
240	17471 13097 12979 7625
241	5520 13176 6602 9522
242	16923 14046 15340 842
243	12754 4791 14316 17837
244	15721 2908 15316 10275
245	3912 1062 10429 13615
246	10189 20 16568 7714
247	861 17126 8555 4293
248	10599 503 5274 13281
249	13735 9637 14825 17657
250	1084 1521 5015 388
251	14506 1005 10358 13148
252	9873 12615 17821 8054
253	7085 14622 7051 13480
254	17709 2536 11983 4783
255	907 5011 8346 745
256	8035 4263 8492 8493
257	9979 4767 14487 15361
258	17329 15942 2901 17553
259	6464 12886 16191 15723
260	17848 5402 17789 12917
261	10981 2611 13608 1226
262	1946 17568 15069 4513
263	13052 5291 10999 17426
264	9118 15631 10882 4624
265	2353 5893 13654 9565
266	5994 8125 8998 6777
267	2783 13826 4214 7419
268	9578 3224 1315 8865
269	4743 7462 6801 10466
270	15253 6504 8281 5638
271	14484 12422 11134 13779
272	15253 11178 9915 12518
273	2894 4038 3155 1695
274	6645 16388 9450 11738
275	13659 17686 13594 12320
276	10206 9518 8579 7256
277	12418 16681 13391 11238
278	15014 12685 11763 2553
279	14185 325 14890 17414
280	4033 1594 3166 7495
281	16114 6311 8359 16194
282	11562 16738 17359 2751
283	12507 6229 2517 3578
284	17995 14580 162 6912
285	16846 4136 15475 8468
286	13029 9795 735 12442
287	1586 8333 16795 7490
288	9179 4906 2324 3821
289	8496 7340 12211 10151
290	17291 14719 12985 14880
291	12352 4841 5940 8593
292	14552 1864 3002 14198
293	12994 4877 1526 8017
294	13479 14413 14753 11636
295	8930 1933 16660 957
296	9307 7096 7329 13646
297	11926 16735 10522 15036
298	13269 9925 8331 1791
299	8396 9540 13854 7556
300	4377 193 4974 6080
301	1744 16501 10191 3341
302	463 3737 17866 6194
303	8311 3295 13463 8638
304	12502 9151 3656 7432
305	10070 7602 10522 15530
306	6514 4176 11107 8313
307	11800 8272 11060 12333
308	2729 10879 3111 7161
309	5114 6053 13843 9751
310	2097 7465 4642 11718
311	12429 14589 3252 14176
312	3728 7517 9717 10849
313	12704 11084 17667 6457
314	1392 8356 5076 4747
315	3646 15504 7443 10708
316	16814 16765 16453 1691
317	3939 13470 10897 11267
318	6188 4844 1084 5382
319	10026 13092 8055 2817
320	16046 6968 3408 5146
321	2981 5950 1703 2823
322	15449 2924 9790 3882
323	16102 3098 13759 975
324	11295 10172 527 13554
325	4980 556 11875 9085
326	6482 13880 5427 3202
327	15019 9086 792 13059
328	10659 2887 6780 5
329	648 8219 12995 11951
330	14318 5076 12699 1753
331	7781 6473 7932 17883
332	11115 12771 14469 3236
333	12494 12507 235 637
334	8474 3718 3821 1522
335	4339 13544 5200 4145
336	6775 13972 13847 17869
337	16210 9826 8103 12719
338	8690 17583 16651 3113
339	10293 1068 8855 14926
340	8650 6357 1766 4759
341	3242 12966 2959 6256
342	3798 17175 15890 7729
343	5449 14601 1765 16409
344	2289 12340 4527 16745
345	13030 9318 5624 4903
346	16360 12285 13769 14643
347	14996 8080 14701 7996
348	8178 17550 3643 7604
349	3941 13623 9895 8440
350	12177 8449 17182 7200
351	570 7820 8658 3471
352	292 12058 17712 12482
353	12389 17606 5292 11614
354	6345 11253 2714 14879
355	4941 6499 12738 3379
356	665 5396 4073 6603
357	10165 3348 2857 10723
358	1951 16987 17494 1466
359	16601 17245 4688 11290
360	6387 1081 4477 13533
361	8474 11737 3325 7847
362	14068 4612 4332 17869
363	15006 2428 15658 7103
364	3876 10894 9426 12808
365	7689 9869 13484 9142
366	4171 2515 16084 613
367	13723 8241 9248 11063
368	5842 13608 10417 11186
369	8330 7722 5047 120
370	4611 2035 12680 5562
371	13240 12697 7409 16644
372	14805 1430 11749 16342
373	15280 14987 2858 11309
374	15270 16234 4770 14900
375	13714 7124 4284 6976
376	1551 9848 12118 16273
377	7740 9386 7752 14227
378	15047 10890 16435 7914
379	8386 7764 5538 3972
380	9425 13132 6677 216
381	13932 2330 3881 4079
382	3292 15182 9899 611
383	8950 4585 13265 13811
384	13818 4206 10762 7359
385	2063 4277 16839 79
386	8830 4061 9692 15725
387	14611 2899 15036 6964
388	16757 6125 2982 14137
389	5547 2641 13400 4829
390	8705 12758 2214 3128
391	3103 11893 4157 3398
392	14963 875 13863 15406
393	5009 15594 14189 4657
394	9270 12430 1136 5208
395	8423 668 8702 14153
396	6265 17721 14746 11278
397	12060 1618 3105 7332
398	6774 16407 7593 2236
399	12532 8898 3412 8924
400	5753 15850 4135 11910
401	12366 3168 13819 10066
402	17060 9018 12605 11273
403	12791 9698 15000 11841
404	11560 10503 9178 15034
405	6011 7278 4171 11231
406	8512 13477 13678 8647
407	1378 8814 15962 90
408	8640 14353 12499 5520
409	9665 478 15776 3681
410	8892 7799 4029 6547
411	11455 4732 16438 4554
412	13439 336 17053 12753
413	15562 15869 4669 120
414	13193 14233 5377 6762
415	11341 14798 12218 6123
416	4834 6669 16214 14130
417	14798 10703 11303 1406
418	8132 8172 3754 9120
419	8434 16976 9443 17856
420	5229 5284 790 17441
421	16958 11323 10726 3224
422	1443 17038 12263 4647
423	9166 3313 9083 9636
424	4184 5398 13149 11449
425	2576 12817 12252 15029
426	2567 10096 3255 14008
427	7725 3737 756 2510
428	15466 4450 11166 443
429	1438 7236 10448 15680
430	13901 12696 14842 2243
431	815 15282 1965 16343
432	4893 15128 11179 1049
433	8235 14721 5761 8679
434	6224 896 3219 9358
435	12205 10339 3320 8992
436	6881 5721 11649 10107
437	9580 14403 11599 2420
438	439 964 6712 12801
439	7335 4033 8806 3621
440	14038 9508 13723 10882
441	4883 415 5188 15383
442	4258 12724 4024 14363
443	14720 3342 4690 11357
444	2720 15431 9385 17415
445	16106 14880 36 12655
446	6969 10221 5604 2544
447	1427 7032 1110 8928
448	11919 12749 10409 17287
449	13900 14210 8301 8730
450	5915 7692 3594 3920
451	8375 14042 6942 1456
452	17367 8940 15794 1601
453	16124 5590 7909 17963
454	6811 3307 4301 9555
455	11707 2398 990 7072
456	13232 6530 17874 5459
457	7276 12975 15726 6630
458	16555 13665 11633 16998
459	7017 7262 3095 2505
460	16307 1123 7819 14734
461	15813 12468 12609 4975
462	15628 2523 14447 890
463	7659 17223 11210 17328
464	52 13320 17695 13408
465	6898 17428 10656 2181
466	9757 15720 17254 7746
467	12916 6429 7033 11004
468	4392 9777 6798 289
469	8560 12145 17479 7666
470	12941 10796 14232 16921
471	6287 10662 3245 17412
472	5642 5119 16454 6381
473	11783 13463 16813 629
474	16488 8262 8979 6324
475	12635 15949 1947 2009
476	17441 10939 13968 4689
477	17538 4168 17285 16245
478	3204 8008 6965 17903
479	13466 8828 8344 15299
480	16087 6607 2938 4773
481	14251 8520 9670 9440
482	16339 820 2125 4452
483	10101 1858 14271 6758
484	8149 3118 9607 16817
485	15730 8764 1440 5647
486	9460 13490 1527 17768
487	6978 14468 14603 17902
488	4737 5707 9467 6508
489	6050 17984 13936 8464
490	17843 4487 10580 6700
491	15871 11774 16141 1641
492	13323 9445 6802 2522
493	2402 17138 3988 2628
494	8558 7675 13707 10144
495	6254 6428 3040 13595
496	480 4568 16360 896
497	1425 8639 287 17210
498	12847 8041 7948 4493
499	1593 11134 7343 13531
500	17439 8733 6861 17083
501	11014 11318 11346 2461
502	14946 9925 7421 1609
503	3804 1910 5691 13591
504	831 3958 14528 10970
505	14126 6144 4364 16209
506	11973 6720 13093 7845
507	8656 2712 15790 462
508	7514 2451 9341 8660
509	3581 8526 6806 14231
510	16030 15513 815 17155
511	1347 10514 14696 17171
512	8844 2068 1205 11295
513	15371 15564 9031 1498
514	8131 2663 3049 17828
515	6046 6443 7489 2653
516	12304 10616 13729 5719
517	2482 13102 16787 9736
518	2109 16770 4250 14897
519	15631 15079 3409 17763
520	4840 16737 7812 261
521	7744 15925 12880 1184
522	3117 4022 4329 2753
523	10391 16519 3025 14896
524	8817 5595 3735 13436
525	707 10958 5855 988
526	9874 9403 15169 6997
527	8957 6297 14504 4876
528	5957 14087 6947 1845
529	8051 1820 6001 9128
530	16271 13725 11605 13091
531	9201 16783 13553 3285
532	11151 8823 13238 6071
533	1556 15576 7495 3310
534	8483 10970 6849 17816
535	5386 8131 99 6883
536	6526 4572 13515 5852
537	2107 9049 6015 6717
538	12212 16915 12775 12111
539	2302 9414 3292 3302
540	8649 17435 12846 6326
541	16780 12539 13640 1047
542	15200 10520 10032 14296
543	5656 13013 16877 3655
544	6257 9440 10990 17635
545	6479 7297 1351 9747
546	8639 12048 3413 7252
547	8476 11893 13533 2250
548	14379 3810 4103 8675
549	14167 9610 9961 14863
550	17612 2402 8442 15567
551	15780 15836 11224 6047
552	9255 14614 17806 10287
553	12169 10853 8792 5403
554	13206 4653 17605 5214
555	10278 13264 7151 11044
556	16924 15035 6324 7672
557	3576 3342 3914 9653
558	17411 5231 17187 12779
559	349 11730 13368 5240
560	2850 10982 14882 4317
561	17246 2367 2276 4338
562	14464 8762 4157 15785
563	8068 6686 627 10348
564	6506 3272 17057 14235
565	414 15230 542 12050
566	6744 3024 11036 14163
567	3527 2636 11534 16925
568	15249 4103 13282 13791
569	13419 2651 9954 862
570	17875 10998 7203 5384
571	12220 17265 6577 14066
572	12421 8053 9191 14910
573	1557 8403 7041 14534
574	12144 15496 17586 8317
575	14740 3656 1097 13351
576	9010 2326 1010 11963
577	7559 7507 10503 12226
