Timeslots, Rooms, Classes, Professors, Students, Runtime, Percentage of classes assigned, Student preference value, Student preference maximum, Fit percentage, e1-Percentage, e2-Percentage, e2-Limit, e3-Action, e4-Increase, e5-Limit, e5-Number of sections made
59,62,283,169,1148,0.193597,1.000000,3530,3864,0.913561,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.247447,0.346290,1739,3864,0.450052,0.100000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.282391,0.371025,1848,3864,0.478261,0.150000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.249387,0.413428,2040,3864,0.527950,0.200000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.260489,0.441696,2169,3864,0.561335,0.250000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.286436,0.487633,2281,3864,0.590321,0.300000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.251231,0.508834,2311,3864,0.598085,0.350000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.265770,0.561837,2428,3864,0.628364,0.400000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.270056,0.597173,2482,3864,0.642340,0.450000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.262441,0.636042,2610,3864,0.675466,0.500000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.260771,0.681979,2747,3864,0.710921,0.550000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.271667,0.727915,2865,3864,0.741460,0.600000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.281418,0.763251,2941,3864,0.761128,0.650000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.272968,0.802120,3086,3864,0.798654,0.700000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.287672,0.833922,3138,3864,0.812112,0.750000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.289240,0.876325,3177,3864,0.822205,0.800000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.294186,0.911661,3295,3864,0.852743,0.850000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.296472,0.946996,3459,3864,0.895186,0.900000,NULL,NULL,NULL,NULL,NULL,NULL
59,62,283,169,1148,0.285069,0.975265,3497,3864,0.905021,0.950000,NULL,NULL,NULL,NULL,NULL,NULL
