Timeslots, Rooms, Classes, Professors, Students, Runtime, Percentage of classes assigned, Student preference value, Student preference maximum, Fit percentage, e1-Percentage, e2-Percentage, e2-Limit, e3-Action, e4-Increase, e5-Limit, e5-Number of sections made
63,68,297,164,1146,0.216705,1.000000,3295,3462,0.951762,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.304666,0.326599,1691,3462,0.488446,0.100000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.298969,0.367003,1862,3462,0.537839,0.150000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.272968,0.393939,1966,3462,0.567880,0.200000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.270037,0.427609,2032,3462,0.586944,0.250000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.275246,0.481481,2212,3462,0.638937,0.300000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.277823,0.518519,2258,3462,0.652224,0.350000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.284093,0.562290,2341,3462,0.676199,0.400000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.281961,0.606061,2464,3462,0.711727,0.450000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.296036,0.646465,2582,3462,0.745812,0.500000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.288149,0.673401,2645,3462,0.764009,0.550000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.301104,0.713805,2727,3462,0.787695,0.600000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.297226,0.747475,2857,3462,0.825245,0.650000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.301707,0.797980,3039,3462,0.877816,0.700000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.310595,0.828283,3077,3462,0.888793,0.750000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.319711,0.872054,3133,3462,0.904968,0.800000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.316094,0.902357,3207,3462,0.926343,0.850000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.316789,0.939394,3277,3462,0.946563,0.900000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.329065,0.979798,3313,3462,0.956961,0.950000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.362215,1.000000,3295,3462,0.951762,1.000000,NULL,NULL,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.194641,1.000000,3172,3462,0.916233,NULL,0.100000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.194933,1.000000,3324,3462,0.960139,NULL,0.100000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.187269,1.000000,3288,3462,0.949740,NULL,0.100000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.186203,1.000000,2996,3462,0.865396,NULL,0.150000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.193058,1.000000,3317,3462,0.958117,NULL,0.150000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.190445,1.000000,3286,3462,0.949162,NULL,0.150000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.172796,0.976431,2818,3462,0.813980,NULL,0.200000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.176161,1.000000,3327,3462,0.961005,NULL,0.200000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.179458,1.000000,3288,3462,0.949740,NULL,0.200000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.175301,0.949495,2648,3462,0.764876,NULL,0.250000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.174838,1.000000,3348,3462,0.967071,NULL,0.250000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.177288,1.000000,3290,3462,0.950318,NULL,0.250000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.177118,0.902357,2443,3462,0.705661,NULL,0.300000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.177305,1.000000,3325,3462,0.960428,NULL,0.300000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.174777,1.000000,3291,3462,0.950607,NULL,0.300000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.167798,0.855219,2345,3462,0.677354,NULL,0.350000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.180115,1.000000,3334,3462,0.963027,NULL,0.350000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.175959,1.000000,3293,3462,0.951184,NULL,0.350000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.157978,0.801347,2135,3462,0.616696,NULL,0.400000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.179391,1.000000,3325,3462,0.960428,NULL,0.400000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.177992,1.000000,3303,3462,0.954073,NULL,0.400000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.155550,0.754209,2013,3462,0.581456,NULL,0.450000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.214563,1.000000,3343,3462,0.965627,NULL,0.450000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.179692,1.000000,3305,3462,0.954650,NULL,0.450000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.154237,0.703704,1886,3462,0.544772,NULL,0.500000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.180963,1.000000,3341,3462,0.965049,NULL,0.500000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.176829,1.000000,3305,3462,0.954650,NULL,0.500000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.148171,0.656566,1753,3462,0.506355,NULL,0.550000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.175265,1.000000,3315,3462,0.957539,NULL,0.550000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.175558,1.000000,3319,3462,0.958694,NULL,0.550000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.174635,0.606061,1537,3462,0.443963,NULL,0.600000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.175525,1.000000,3360,3462,0.970537,NULL,0.600000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.175522,1.000000,3309,3462,0.955806,NULL,0.600000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.137822,0.555556,1355,3462,0.391392,NULL,0.650000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.182983,1.000000,3362,3462,0.971115,NULL,0.650000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.176900,1.000000,3316,3462,0.957828,NULL,0.650000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.130060,0.501683,1151,3462,0.332467,NULL,0.700000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.173306,1.000000,3353,3462,0.968515,NULL,0.700000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.198188,1.000000,3329,3462,0.961583,NULL,0.700000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.126561,0.457912,1089,3462,0.314558,NULL,0.750000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.210115,1.000000,3377,3462,0.975448,NULL,0.750000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.190598,1.000000,3317,3462,0.958117,NULL,0.750000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.154216,0.407407,1017,3462,0.293761,NULL,0.800000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.231647,1.000000,3391,3462,0.979492,NULL,0.800000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.193327,1.000000,3312,3462,0.956672,NULL,0.800000,180,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.125027,0.356902,826,3462,0.238590,NULL,0.850000,60,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.194745,1.000000,3396,3462,0.980936,NULL,0.850000,120,NULL,NULL,NULL,NULL
63,68,297,164,1146,0.199829,1.000000,3350,3462,0.967649,NULL,0.850000,180,NULL,NULL,NULL,NULL
