Students	3000
1	147 146 132 170
2	143 188 42 179
3	59 76 80 14
4	67 57 144 3
5	163 55 137 52
6	184 148 171 107
7	195 111 54 154
8	13 80 61 96
9	159 199 77 85
10	190 3 7 114
11	185 26 22 37
12	55 165 59 155
13	105 107 146 113
14	199 148 191 115
15	54 46 139 71
16	85 168 157 7
17	102 24 48 29
18	165 148 170 119
19	184 168 29 155
20	71 137 15 183
21	186 123 49 106
22	36 162 71 62
23	190 38 134 158
24	105 74 99 86
25	83 11 132 73
26	159 72 41 119
27	171 8 12 23
28	23 100 35 164
29	124 23 25 94
30	56 14 1 179
31	31 114 106 94
32	152 158 63 26
33	124 68 140 103
34	45 102 16 37
35	38 134 129 121
36	7 46 79 59
37	113 14 117 168
38	76 127 114 97
39	15 167 94 66
40	196 11 64 175
41	55 76 96 13
42	142 123 74 20
43	24 195 28 45
44	58 5 106 142
45	119 90 109 92
46	131 92 105 30
47	40 172 102 29
48	197 127 99 40
49	148 48 31 196
50	65 37 4 172
51	192 118 157 129
52	51 31 188 183
53	71 161 131 192
54	102 60 149 39
55	184 177 163 102
56	68 43 188 1
57	85 187 66 165
58	103 101 118 148
59	197 177 81 16
60	40 73 126 10
61	94 99 146 145
62	135 9 39 181
63	1 63 32 7
64	199 172 76 168
65	13 111 188 117
66	50 123 27 142
67	189 178 147 101
68	177 193 59 166
69	38 51 73 133
70	195 86 149 183
71	193 133 144 22
72	113 45 85 40
73	31 169 124 137
74	78 191 110 133
75	103 53 95 49
76	120 126 143 164
77	1 149 76 156
78	118 16 130 63
79	5 104 15 112
80	41 9 67 69
81	42 152 89 145
82	24 143 181 30
83	12 78 116 125
84	112 101 31 156
85	123 177 69 27
86	25 6 158 197
87	31 24 29 27
88	131 56 112 45
89	184 88 36 122
90	17 166 43 191
91	115 199 161 57
92	51 154 177 118
93	44 70 124 200
94	136 165 148 9
95	152 48 198 12
96	123 124 19 114
97	53 167 36 54
98	112 152 185 6
99	50 169 185 126
100	179 135 110 27
101	118 178 48 141
102	43 131 156 187
103	47 79 130 9
104	97 128 191 52
105	122 55 82 70
106	21 127 113 55
107	30 32 50 197
108	122 102 167 152
109	65 173 38 179
110	141 19 70 108
111	175 6 92 40
112	8 44 33 78
113	54 126 17 110
114	60 41 26 146
115	96 24 177 182
116	142 8 188 123
117	165 115 111 97
118	105 187 85 199
119	122 2 72 73
120	102 128 170 123
121	7 86 94 186
122	2 31 119 114
123	183 7 50 40
124	139 181 76 112
