Course	Room	Teacher	Time	Students
1	15	39	5	10 46 94 108 159 176 241 248 354 378 384 401 406 433 448 461 468 469 483 520 558 571 603 613 616 633 708 711 715 757 788 798 821 833 857 895 919 957 978 991 
2	5	39	3	13 22 38 92 97 114 123 162 168 222 231 269 292 301 312 317 362 366 368 404 427 445 451 462 464 487 566 573 612 625 640 642 645 663 683 697 737 750 775 778 802 807 821 828 839 853 875 894 947 982 
3	47	44	1	11 35 52 58 85 267 291 338 345 377 388 392 438 455 456 465 473 506 525 532 550 569 578 584 638 648 662 736 737 741 744 814 837 848 852 862 866 889 928 942 949 950 953 991 
4	5	6	0	13 28 37 51 73 92 102 119 123 138 145 158 180 181 218 221 242 244 259 299 328 341 409 425 459 468 474 486 517 525 553 577 587 590 612 615 633 634 650 653 664 668 765 780 788 795 815 825 827 877 906 939 969 973 
5	26	4	0	5 55 116 131 137 139 154 157 184 205 239 248 287 312 390 447 487 490 515 518 523 532 543 592 598 624 652 661 684 712 715 718 744 800 832 847 857 862 868 924 940 989 1000 
6	4	23	1	1 15 43 64 72 129 133 140 148 158 169 182 185 211 228 237 268 294 313 320 336 412 464 488 534 567 620 652 660 690 783 805 822 846 887 913 914 926 951 982 
7	25	17	2	28 37 67 111 139 176 255 285 295 319 387 404 423 455 493 553 591 604 666 682 696 703 706 829 877 891 925 962 963 
8	9	46	2	6 33 120 129 131 132 171 222 223 253 264 323 329 364 374 419 425 457 458 502 513 538 551 554 631 670 689 717 781 795 797 806 826 936 
9	4	2	5	9 33 36 39 43 67 74 117 155 163 185 226 246 254 311 313 316 353 427 450 472 510 518 536 544 555 590 608 615 635 638 727 747 771 773 783 811 832 894 931 953 
10	9	16	0	14 39 75 88 105 106 251 298 305 319 361 435 453 483 507 528 542 586 599 607 619 731 738 758 818 826 838 898 912 968 982 994 997 
11	47	36	3	34 42 45 48 59 68 72 91 147 203 226 243 247 264 271 285 289 299 303 321 365 421 469 504 514 545 585 624 636 729 741 747 791 852 888 957 961 965 973 
12	20	47	4	17 59 128 129 155 158 209 246 293 343 348 351 410 418 493 516 549 576 640 643 645 656 676 682 695 713 745 784 810 820 836 954 
13	43	47	0	58 77 135 179 195 201 222 227 253 265 275 295 304 333 362 365 382 385 420 476 492 502 513 545 558 567 597 642 768 871 884 893 915 916 
14	15	46	3	18 24 26 32 41 49 63 104 142 150 156 201 207 253 276 283 388 395 438 467 502 526 582 608 657 678 681 687 761 787 800 812 862 867 904 906 966 980 
15	32	4	3	31 52 53 69 82 95 107 126 136 193 238 272 304 308 331 345 354 355 357 423 446 460 465 542 546 563 602 604 622 627 643 668 669 674 690 707 762 763 900 920 931 939 967 988 996 
16	4	45	2	29 45 49 62 68 101 103 116 140 184 195 213 246 247 251 286 293 327 371 380 385 386 407 453 485 557 586 651 656 707 785 790 798 836 844 873 934 938 954 984 988 
17	42	29	5	12 16 58 89 106 112 137 145 188 219 227 228 258 263 279 336 361 395 443 444 491 497 512 552 557 576 631 677 680 686 709 748 766 826 834 839 874 900 952 976 
18	19	33	2	22 40 47 53 119 151 201 242 249 252 292 305 314 354 446 451 463 499 507 508 539 547 583 593 597 614 623 647 658 662 675 680 865 876 890 907 918 983 
19	10	21	1	36 50 89 108 128 152 170 175 194 213 245 259 262 273 309 332 426 452 457 493 495 515 544 577 592 599 636 639 697 701 725 728 735 742 747 792 795 885 892 907 915 974 
20	26	26	1	47 69 78 116 144 154 210 223 231 264 266 279 282 295 334 369 376 383 385 397 411 466 477 510 580 586 733 764 768 774 777 807 810 840 856 864 904 923 952 972 979 
21	30	23	2	41 44 76 77 84 99 127 188 228 347 352 360 406 432 456 512 523 549 568 584 595 624 628 643 712 738 783 789 791 831 838 910 933 
22	9	6	3	23 81 152 198 204 223 241 244 270 290 349 426 430 431 448 466 479 489 509 511 571 574 603 664 671 742 772 793 876 926 927 960 963 992 
23	36	29	0	6 9 20 78 98 125 128 148 235 255 257 271 279 283 372 384 432 568 571 579 582 606 618 683 687 696 701 789 849 850 873 955 972 980 
24	42	34	2	4 17 56 137 138 189 265 282 297 335 349 367 373 382 409 415 416 439 464 465 509 519 525 526 552 576 639 676 713 771 799 872 908 919 953 955 964 
25	4	3	3	16 17 112 160 174 175 205 233 265 296 310 327 352 473 553 629 691 710 713 723 746 760 764 767 810 831 834 842 845 860 865 866 880 895 941 
26	20	37	1	13 27 51 99 102 134 146 157 171 191 198 225 226 235 261 304 406 469 543 619 627 661 734 781 870 879 917 963 975 986 
27	42	50	1	54 57 62 86 124 207 287 300 363 379 389 434 447 448 475 480 482 552 553 583 589 626 637 649 667 680 685 704 705 716 739 773 818 823 851 
28	47	9	5	2 32 87 99 107 115 143 165 172 180 270 298 418 432 434 484 522 565 566 573 574 579 587 598 714 745 819 829 875 909 913 923 947 962 966 969 990 999 
29	19	3	5	26 71 132 146 196 199 221 249 252 268 275 276 290 302 320 325 440 454 466 475 485 509 540 600 630 642 659 668 688 744 784 813 865 941 981 998 
30	32	9	4	51 93 118 124 230 234 258 262 325 326 331 336 342 387 398 400 473 485 500 507 512 546 554 556 579 585 586 611 617 630 662 674 776 809 844 861 863 864 875 883 908 996 
31	15	48	0	25 29 64 67 110 166 188 207 280 325 353 364 369 393 441 448 503 521 531 535 549 551 603 622 630 676 679 688 740 753 755 756 759 770 778 878 993 
32	4	11	0	89 103 109 144 162 165 168 225 278 292 310 354 386 424 437 444 536 540 541 573 611 621 625 656 659 720 722 743 781 848 855 908 917 923 930 949 978 983 
33	31	13	3	1 37 129 149 155 194 202 212 249 346 375 387 414 541 548 576 589 637 648 753 771 776 790 816 817 824 826 882 893 938 948 950 954 968 987 991 995 998 
34	4	8	4	20 57 115 125 131 151 160 164 188 220 235 285 313 319 322 324 339 363 367 376 414 461 479 529 548 563 584 600 646 691 701 703 748 749 790 905 921 925 930 934 
35	10	25	5	8 23 35 51 98 153 170 179 190 208 209 225 229 301 304 347 396 465 563 567 582 589 605 620 624 644 651 670 673 752 765 807 836 844 869 921 926 929 934 945 970 974 989 1000 
36	5	44	4	3 5 31 76 78 81 142 146 161 218 242 297 301 356 391 394 403 405 407 422 453 462 484 497 517 538 565 595 635 664 690 720 770 783 786 793 833 835 843 872 887 898 911 920 936 956 965 978 986 
37	19	30	3	28 30 76 80 108 115 180 185 217 232 284 307 358 402 484 506 523 533 554 558 581 593 601 606 659 661 670 714 743 786 858 905 921 955 
38	36	36	4	1 39 40 49 133 141 154 199 203 227 296 316 340 346 396 413 440 451 454 486 489 498 502 572 605 679 693 711 741 746 754 792 840 850 854 890 891 892 896 916 951 980 
39	20	11	5	101 113 167 200 212 216 266 299 335 376 435 447 459 539 583 604 606 656 660 712 852 856 861 881 892 907 925 939 964 
40	26	5	2	42 82 98 143 156 178 183 191 202 205 209 216 271 288 318 332 358 486 494 524 531 543 560 588 592 613 663 669 673 685 700 736 763 787 815 840 887 904 921 928 
41	31	45	0	3 80 111 147 152 186 231 236 268 342 346 388 391 407 408 436 470 491 497 500 605 628 674 734 750 760 806 828 841 853 879 919 971 975 979 
42	23	19	5	48 75 78 122 130 136 138 140 189 203 217 247 260 261 280 321 328 342 365 382 416 513 561 588 652 654 702 767 777 799 822 845 846 883 890 899 956 995 
43	31	31	4	90 92 127 134 172 192 197 202 208 211 314 358 404 431 436 520 558 570 573 596 622 629 644 649 685 694 696 698 723 740 757 760 787 879 880 884 917 967 998 
44	25	17	5	30 59 177 183 194 286 300 303 317 366 481 482 519 593 663 672 770 775 854 863 876 948 967 
45	42	25	4	7 33 75 83 104 109 112 120 180 183 272 275 284 330 392 393 408 463 560 575 700 722 755 794 838 862 901 958 976 979 990 
46	15	2	2	2 21 48 63 73 93 94 107 123 196 200 257 269 300 330 338 342 370 378 422 440 520 545 569 616 693 727 728 786 810 822 854 863 901 945 960 
47	23	35	0	12 26 50 127 159 170 190 204 229 233 291 340 352 374 387 402 412 415 445 475 478 494 565 589 596 636 645 672 675 751 779 784 896 907 976 987 
48	23	13	1	31 68 187 263 318 329 347 381 403 410 450 471 562 634 653 655 677 694 763 767 794 838 847 875 877 901 918 920 924 961 984 987 
