Students	1000
1	6 38 78 33
2	39 28 46 57
3	41 68 52 36
4	69 24 59 86
5	99 79 36 5
6	23 8 73 21
7	49 45 72 56
8	44 35 97 85
9	23 72 9 99
10	1 28 98 80
11	78 27 3 19
12	47 85 81 17
13	26 4 2 77
14	63 10 91 73
15	94 100 52 6
16	79 95 17 25
17	12 24 85 25
18	69 100 72 14
19	62 59 71 72
20	23 34 68 86
21	58 86 46 87
22	49 67 18 2
23	70 22 51 35
24	79 50 14 69
25	84 31 73 88
26	29 14 84 47
27	26 48 79 53
28	7 79 37 4
29	16 85 49 31
30	69 37 49 44
31	81 36 15 48
32	14 88 28 25
33	8 45 9 99
34	37 75 11 63
35	35 83 95 3
36	63 9 19 91
37	49 4 33 7
38	83 93 2 76
39	10 38 9 83
40	18 38 43 99
41	14 21 69 74
42	73 11 86 40
43	9 68 6 87
44	79 88 73 21
45	98 11 16 24
46	1 80 54 85
47	67 50 18 20
48	46 42 11 67
49	14 16 96 38
50	47 98 90 19
51	4 26 30 35
52	3 89 15 83
53	15 73 76 18
54	60 94 27 68
55	72 53 5 59
56	24 53 91 79
57	27 70 34 94
58	3 13 17 70
59	11 12 44 78
60	49 70 63 81
61	70 78 49 72
62	27 88 16 50
63	46 64 14 81
64	93 100 6 31
65	74 95 57 76
66	57 65 79 56
67	9 54 7 31
68	11 16 48 96
69	15 98 20 73
70	59 87 82 90
71	74 55 29 80
72	71 6 11 98
73	57 4 92 46
74	53 75 100 9
75	10 80 42 45
76	37 21 36 65
77	21 65 13 53
78	23 20 42 36
79	83 100 69 88
80	41 80 37 93
81	25 22 36 80
82	40 53 74 15
83	45 55 60 89
84	21 24 74 58
85	3 74 81 86
86	65 75 27 70
87	62 95 97 28
88	84 10 50 79
89	32 17 19 93
90	75 55 73 43
91	74 11 84 60
92	47 4 43 2
93	51 80 30 46
94	1 87 46 59
95	55 49 15 90
96	70 52 92 90
97	59 92 2 37
98	40 59 23 35
99	26 21 88 28
100	66 96 95 51
101	16 81 68 39
102	4 26 70 52
103	16 90 49 32
104	14 45 70 77
105	96 10 68 54
106	17 10 56 47
107	78 28 15 46
108	98 1 19 37
109	79 64 45 32
110	31 92 52 99
111	59 7 41 92
112	45 25 17 91
113	39 68 53 51
114	52 62 92 2
115	68 34 28 37
116	16 41 5 20
117	82 9 62 51
118	56 100 59 30
119	99 4 21 18
120	8 45 90 96
121	66 76 77 79
122	88 77 90 42
123	46 93 4 2
124	81 79 27 30
125	85 34 80 23
126	78 15 93 63
127	47 69 43 21
128	19 54 23 12
129	8 33 6 12
130	42 93 53 60
131	34 5 66 8
132	51 8 56 29
133	55 6 93 38
134	90 66 43 26
135	13 65 83 80
136	56 42 44 15
137	73 17 5 24
138	42 73 4 24
139	5 49 7 80
140	21 16 42 6
141	56 66 88 38
142	36 14 54 81
143	28 66 56 40
144	32 72 84 20
145	4 58 92 17
146	36 29 26 98
147	69 85 41 11
148	92 23 6 87
149	57 33 88 82
150	14 97 60 75
151	65 49 18 34
152	41 22 88 19
153	82 35 91 58
154	38 70 20 5
155	9 12 81 33
156	88 40 14 62
157	57 5 26 78
158	12 4 6 95
159	54 47 89 1
160	25 72 59 34
161	74 78 36 53
162	66 85 32 2
163	70 62 9 94
164	58 34 62 96
165	64 32 61 28
166	62 31 60 99
167	61 39 86 64
168	74 32 53 2
169	51 6 62 63
170	35 47 19 99
171	26 8 83 74
172	66 99 43 28
173	49 98 58 67
174	25 60 77 87
175	19 90 25 68
176	60 7 72 1
177	44 91 67 86
178	96 62 40 88
179	97 42 13 35
180	45 28 37 4
181	51 78 4 83
182	86 94 6 59
183	45 40 76 44
184	5 60 95 16
185	37 9 6 61
186	61 41 56 95
187	90 64 48 76
188	34 17 31 21
189	24 58 52 42
190	35 73 47 55
191	83 76 26 40
192	60 43 83 63
193	83 49 15 75
194	33 44 51 19
195	16 96 98 13
196	29 46 94 51
197	74 71 43 79
198	77 67 22 26
199	98 29 81 38
200	46 94 39 92
201	77 13 18 14
202	40 43 98 33
203	61 38 42 11
204	97 76 22 47
205	5 25 88 40
206	71 64 60 68
207	31 14 27 70
208	60 35 79 43
209	40 39 35 12
210	73 63 58 20
211	43 6 64 79
212	64 33 39 88
213	16 73 91 19
214	99 74 89 91
215	91 82 96 87
216	72 39 40 73
217	42 98 60 37
218	4 36 56 57
219	68 58 17 80
220	60 34 93 72
221	85 4 71 29
222	8 2 64 13
223	22 8 20 58
224	98 90 66 64
225	26 63 35 32
226	26 60 11 9
227	13 58 38 17
228	96 21 6 17
229	47 35 83 75
230	30 94 88 55
231	41 20 11 2
232	53 64 37 59
233	25 94 97 47
234	75 30 90 83
235	34 45 23 26
236	80 84 68 41
237	6 64 95 93
238	69 99 15 98
239	65 72 5 71
240	74 58 69 67
241	22 60 1 54
242	18 36 4 76
243	98 76 11 65
244	22 89 4 52
245	84 27 19 57
246	83 9 12 16
247	42 16 49 11
248	84 5 49 1
249	18 95 29 33
250	94 76 86 64
251	10 16 95 76
252	18 29 56 59
253	8 14 13 100
254	54 98 9 44
255	23 73 60 7
256	84 83 49 61
257	46 60 23 69
258	17 36 30 53
259	4 88 75 19
260	42 67 68 71
261	97 26 44 42
262	27 30 83 19
263	48 55 17 63
264	20 100 8 11
265	24 41 13 25
266	59 39 84 20
